99,101 0,0
98,97 0,0
147,242 0,0
160,191 0,0
159,189 0,0
194,177 0,0
221,211 0,0
180,233 0,0
234,196 0,0
155,213 0,0
228,171 0,0
128,252 0,0
143,212 0,0
194,161 0,0
202,189 0,0
121,160 0,0
92,117 0,0
90,114 0,0
86,114 0,0
86,118 0,0
91,153 0,0
110,199 0,0
190,237 0,0
237,154 0,0
164,182 0,0
116,189 0,0
176,194 0,0
285,219 0,0
145,197 0,0
140,232 0,0
116,194 0,0
116,194 0,0
115,194 0,0
116,195 0,0
115,194 0,0
115,194 0,0
116,195 0,0
116,195 0,0
115,195 0,0
116,195 0,0
116,195 0,0
115,195 0,0
115,195 0,0
116,195 0,0
115,194 0,0
122,209 0,0
145,233 0,0
187,245 0,0
171,203 0,0
214,204 0,0
265,206 0,0
267,194 0,0
263,192 0,0
211,177 0,0
180,185 0,0
178,193 0,0
176,194 0,0
176,194 0,0
177,194 0,0
135,196 0,0
122,172 0,0
122,172 0,0
121,171 0,0
121,172 0,0
121,171 0,0
121,171 0,0
121,171 0,0
121,171 0,0
120,171 0,0
121,170 0,0
120,171 0,0
120,171 0,0
120,171 0,0
120,172 0,0
111,172 0,0
110,190 0,0
121,192 0,0
127,189 0,0
154,177 0,0
220,160 0,0
238,155 0,0
232,160 0,0
228,168 0,0
226,192 0,0
221,220 0,0
220,227 0,0
220,229 0,0
220,228 0,0
221,227 0,0
220,227 0,0
221,227 0,0
221,227 0,0
220,227 0,0
220,227 0,0
220,227 0,0
220,226 0,0
220,226 0,0
220,226 0,0
221,227 0,0
220,227 0,0
221,226 0,0
220,224 0,0
220,225 0,0
221,226 0,0
220,227 0,0
141,286 0,0
86,128 0,0
230,250 0,0
229,195 0,0
168,221 0,0
164,219 0,0
165,220 0,0
163,222 0,0
162,223 0,0
120,203 0,0
133,236 0,0
136,207 0,0
169,177 0,0
169,178 0,0
169,178 0,0
169,175 0,0
169,176 0,0
178,171 0,0
184,170 0,0
185,170 0,0
179,179 0,0
175,182 0,0
176,182 0,0
174,183 0,0
174,182 0,0
176,183 0,0
177,181 0,0
171,187 0,0
170,191 0,0
170,201 0,0
169,208 0,0
169,210 0,0
169,210 0,0
168,211 0,0
170,209 0,0
168,215 0,0
164,236 0,0
167,244 0,0
175,212 0,0
176,211 0,0
176,211 0,0
166,194 0,0
164,194 0,0
163,194 0,0
164,195 0,0
155,201 0,0
141,209 0,0
191,165 0,0
244,146 0,0
219,126 0,0
99,209 0,0
124,227 0,0
143,245 0,0
138,241 0,0
144,245 0,0
154,240 0,0
121,140 0,0
106,97 0,0
119,91 0,0
190,108 0,0
176,194 0,0
150,249 0,0
151,247 0,0
151,250 0,0
153,253 0,0
170,256 0,0
199,241 0,0
213,232 0,0
212,234 0,0
212,234 0,0
213,233 0,0
240,185 0,0
232,173 0,0
168,225 0,0
207,168 0,0
172,161 0,0
160,167 0,0
159,169 0,0
157,171 0,0
157,170 0,0
156,172 0,0
156,172 0,0
156,171 0,0
151,245 0,0
236,160 0,0
167,165 0,0
175,209 0,0
175,209 0,0
175,211 0,0
174,209 0,0
175,211 0,0
176,211 0,0
175,211 0,0
175,212 0,0
175,209 0,0
166,187 0,0
211,224 0,0
147,200 0,0
158,201 0,0
148,174 0,0
148,174 0,0
148,173 0,0
148,172 0,0
148,172 0,0
148,173 0,0
149,172 0,0
148,172 0,0
150,176 0,0
154,244 0,0
241,179 0,0
171,252 0,0
157,219 0,0
223,170 0,0
220,202 0,0
148,186 0,0
194,171 0,0
201,217 0,0
164,175 0,0
230,205 0,0
181,234 0,0
147,212 0,0
146,211 0,0
145,210 0,0
145,210 0,0
145,211 0,0
144,210 0,0
154,184 0,0
208,170 0,0
156,208 0,0
156,196 0,0
209,169 0,0
157,228 0,0
227,169 0,0
227,283 0,0
191,273 0,0
192,273 0,0
190,273 0,0
192,275 0,0
169,225 0,0
108,130 0,0
87,165 0,0
105,192 0,0
196,179 0,0
212,148 0,0
116,202 0,0
104,164 0,0
156,225 0,0
175,217 0,0
200,181 0,0
244,184 0,0
239,212 0,0
201,196 0,0
166,169 0,0
183,220 0,0
180,247 0,0
161,249 0,0
148,241 0,0
130,199 0,0
111,181 0,0
102,180 0,0
113,178 0,0
140,195 0,0
158,259 0,0
186,206 0,0
253,178 0,0
180,205 0,0
149,133 0,0
224,202 0,0
197,241 0,0
163,171 0,0
156,242 0,0
191,164 0,0
149,176 0,0
175,245 0,0
207,180 0,0
157,160 0,0
204,222 0,0
160,164 0,0
134,214 0,0
198,214 0,0
144,197 0,0
198,196 0,0
187,159 0,0
223,169 0,0
155,214 0,0
139,230 0,0
