generation, best seeker, average seeker, best avoider, average avoider
45, 3815, 2833.0625, 5668.168873389601, 818.6572492493937
46, 3759, 2828.875, 4210.134273298303, 628.9064618283423
47, 3743, 2532.125, 4429.98129497404, 820.5536633081906
48, 3568, 2704.4375, 4501.401517310881, 738.992494598299
49, 3676, 2854.625, 4026.2760284772316, 604.5189867916845
50, 3638, 2819.375, 4880.908611761563, 779.9660169170137
51, 3614, 2533.4375, 4165.4736993733, 799.0886229864225
52, 3526, 2595.125, 4510.0114394337725, 916.735126547151
53, 3654, 2732.375, 3895.8719409337245, 714.2024395149597
54, 3726, 2778.375, 4569.485545639561, 733.3755588333347
55, 3532, 2694.375, 4448.811418601239, 631.5536220578741
56, 3665, 2728.6875, 5101.212089208597, 721.6421310428656
57, 3882, 2797.8125, 4516.568597449863, 697.0709850046492
58, 3766, 3051.125, 3804.8106255524217, 526.8800545758909
59, 3393, 2506.3125, 4412.854662947637, 948.7102786169376
60, 3786, 3031.25, 3949.9730684204956, 569.7932320945265
61, 3756, 2781.8125, 4857.618485530666, 790.6122178593257
62, 3609, 2793.6875, 4602.011886534967, 696.4224061611148
63, 3782, 2746.5, 5034.611754836251, 795.4669583121507
64, 3574, 2714.375, 4290.150332037253, 715.5112521990227
65, 3713, 2786.4375, 4547.184522829391, 707.4149556688446
66, 3759, 2826.375, 4097.473314382689, 620.1303325121131
67, 3638, 2736.375, 4558.0818341852755, 830.4956362023077
68, 3699, 2702.8125, 4544.179371559798, 787.2961741181772
69, 3802, 2716.8125, 4983.771474351791, 933.1388231743781
70, 3774, 2693.9375, 4165.910160832963, 692.8607159280069
71, 3608, 2756.125, 4430.971702799192, 609.7713212108591
72, 3549, 2695.3125, 4775.777721280518, 761.5863410932334
73, 3474, 2531.9375, 4200.900833911935, 995.3115552889308
74, 3658, 2981.125, 4043.569365387312, 660.5042617289478
75, 3670, 2777.6875, 4403.102293699233, 638.1098205757435
76, 3752, 3014.6875, 4001.459822049584, 483.9217292350083
77, 3883, 2842.3125, 4364.830116454148, 732.2519722982975
78, 3413, 2510.9375, 3985.5042202331915, 763.9763047322045
79, 3552, 2893.125, 4099.637506953843, 634.8293113511279
80, 3474, 2689.125, 4072.795319454087, 727.6336024474756
81, 3366, 2692.3125, 5089.799092960207, 791.9799273602981
82, 3862, 2722.8125, 3994.978961546946, 703.7621720271329
83, 3599, 2792.9375, 4099.834828751982, 613.5039348287754
84, 3666, 2893.0, 4005.2025992849067, 480.3062864745118
85, 3728, 2511.8125, 4350.42803071573, 798.6602426743142
86, 3513, 2616.9375, 4201.279193461289, 827.2211305192158
87, 3597, 2619.5, 4726.696550732575, 792.265143819773
88, 3547, 2611.5625, 4439.480195952593, 780.9475393316542
89, 3668, 2913.4375, 4025.5020775326125, 626.0887371267156
90, 3634, 2744.625, 4731.155341068172, 734.7911144047888
91, 3786, 2882.3125, 4806.360677739902, 702.2767717338094
92, 3511, 2657.1875, 4232.221839026545, 782.3915900296985
93, 3669, 2496.125, 4794.026831895147, 909.9864494646433
94, 3748, 2657.8125, 4605.5991635217015, 718.4564903082518
95, 3728, 2706.5625, 4181.538693296179, 726.4052331533569
96, 3757, 2536.8125, 4343.3211016818495, 771.7950346457783
97, 3806, 2866.8125, 4263.9490998452775, 687.3074581972753
98, 3647, 2597.1875, 4676.956341040164, 787.2402611599293
99, 3575, 2791.9375, 4411.004725330425, 773.4653190543446
100, 3573, 2763.1875, 4006.5883430697218, 709.3912452618
101, 3659, 2629.3125, 5560.375174831242, 875.7742068789632
102, 3708, 2750.3125, 4350.201434364542, 699.4221775485863
103, 3588, 2472.9375, 4148.916218550051, 806.9859246815755
104, 3572, 2703.4375, 4960.079287836982, 641.9239475434922
105, 3780, 2633.0625, 4338.654363381005, 788.2859935361587
106, 3403, 2767.625, 4388.292902182631, 682.760281001521
107, 3606, 2747.0, 5065.548149200559, 866.5543214096468
108, 3531, 2788.3125, 4336.301977971846, 627.0240901479398
109, 3562, 2576.5625, 4160.622487131757, 780.7372891879105
110, 3676, 2605.8125, 4350.2538778942435, 792.1317590162945
111, 3575, 2542.3125, 4148.645705835676, 741.2024525185207
112, 3709, 2851.25, 3868.403386049342, 626.1832094453807
113, 3795, 2770.375, 4615.985588099064, 648.741786019984
114, 3687, 2922.1875, 4726.441371820263, 589.3111214788273
115, 3775, 2812.25, 4298.919269997275, 645.6795334860708
116, 3726, 2728.1875, 4074.7384029307527, 752.4675826666119
117, 3782, 2732.125, 4010.5879440311155, 808.0783123797908
118, 3660, 2706.8125, 4413.853485281143, 723.8643085389366
119, 3785, 2944.5625, 4387.444177181, 642.51546787668
120, 3687, 2679.8125, 5108.296720189458, 745.8133935369772
121, 3521, 2675.0625, 4203.720718772684, 867.8405953513301
122, 3279, 2699.375, 4436.310626527726, 675.0630338497275
