generation, best seeker, average seeker, best avoider, average avoider
417, 3640, 2636.75, 6844, 1068.0625
418, 3606, 2763.875, 6641, 1172.203125
419, 2995, 2574.6875, 6795, 1378.40625
420, 3739, 2774.375, 6782, 1217.921875
421, 3658, 2663.1875, 6843, 1327.671875
422, 3732, 3059.125, 6451, 696.234375
423, 3743, 2987.8125, 6371, 618.84375
424, 3542, 2874.5625, 6695, 929.71875
425, 3741, 2916.3125, 6778, 991.265625
426, 3616, 2652.25, 6689, 1056.84375
427, 3732, 2785.625, 6853, 761.03125
428, 3641, 2829.9375, 6716, 1086.390625
429, 3255, 2642.375, 6797, 1274.453125
430, 3774, 3069.125, 6694, 629.421875
431, 3746, 2925.0625, 6764, 774.84375
432, 3665, 2897.5, 6799, 896.71875
433, 3581, 2805.9375, 6780, 1064.6875
434, 3714, 2743.625, 6630, 1092.78125
435, 3764, 2722.25, 6724, 1109.0
436, 3675, 3100.875, 6591, 640.34375
437, 3693, 2748.375, 6757, 864.5625
438, 3747, 2983.375, 6704, 766.421875
439, 3746, 2964.625, 6924, 871.90625
440, 3753, 2646.0, 6816, 1016.171875
441, 3566, 2513.625, 6714, 1225.703125
442, 3885, 2969.625, 6731, 836.6875
443, 3629, 2870.25, 6846, 966.65625
444, 3585, 2656.3125, 6647, 1254.0625
445, 3670, 2984.0, 6817, 913.25
446, 3595, 2700.6875, 6704, 1312.609375
447, 3749, 2749.625, 6791, 1037.40625
448, 3747, 2847.3125, 6656, 1028.625
449, 3724, 2810.25, 6854, 1176.625
450, 3675, 3013.3125, 6443, 728.25
451, 3775, 3018.375, 6585, 814.25
452, 3443, 2692.0625, 6834, 818.953125
453, 3677, 2971.5625, 6854, 584.59375
454, 3828, 2769.4375, 6639, 1056.28125
455, 3760, 3147.375, 6366, 514.96875
456, 3796, 2725.125, 6632, 1212.234375
457, 3523, 2497.3125, 6837, 1166.609375
458, 3763, 2883.6875, 6765, 1116.171875
459, 3843, 3087.5625, 6829, 703.171875
460, 3496, 2659.0625, 6663, 1194.65625
461, 3769, 2997.5, 6726, 685.53125
462, 3777, 3183.0, 6807, 583.046875
463, 3672, 2709.0625, 6874, 1059.875
