generation, best seeker, average seeker, best avoider, average avoider
139, 3859, 2884.9375, 6689, 958.625
140, 3530, 2781.5, 6749, 1003.484375
141, 3652, 2906.375, 6615, 900.453125
142, 3783, 2619.8125, 6454, 1059.40625
143, 3840, 2789.5625, 6721, 912.265625
144, 3749, 3012.9375, 6839, 874.109375
145, 3722, 2975.25, 6700, 881.765625
146, 3488, 2619.625, 6732, 1105.390625
147, 3723, 2514.5, 6892, 1536.953125
148, 3618, 2798.6875, 6632, 744.5
149, 3480, 2663.375, 6726, 1053.09375
150, 3396, 2766.6875, 6789, 1029.078125
151, 3678, 2817.0625, 6905, 1096.40625
152, 3727, 2972.6875, 6627, 670.5625
153, 3574, 2711.3125, 6737, 1008.9375
154, 3690, 2795.5625, 6761, 1068.6875
155, 3787, 2988.25, 6765, 818.203125
156, 3488, 2677.375, 6810, 1198.625
157, 3711, 2952.625, 6769, 927.34375
158, 3699, 2890.0, 6714, 800.140625
159, 3740, 2887.25, 6814, 812.078125
160, 3748, 2699.1875, 6641, 1041.53125
161, 3343, 2475.4375, 6826, 1224.46875
162, 3605, 2624.1875, 6819, 1348.390625
163, 3804, 2826.3125, 6320, 1008.796875
164, 3457, 2845.8125, 6710, 1092.015625
165, 3625, 2768.0625, 6770, 821.671875
166, 3339, 2651.5625, 6854, 1291.5
167, 3770, 2859.375, 6551, 716.203125
168, 3876, 2890.0, 6865, 739.0625
169, 3692, 2784.3125, 6737, 1000.640625
170, 3718, 2558.375, 6893, 1344.4375
171, 3759, 2883.125, 6821, 1077.609375
172, 3858, 3069.6875, 6897, 872.828125
173, 3810, 2891.75, 6757, 938.3125
174, 3791, 3030.5, 6761, 818.5
175, 3595, 2812.0625, 6657, 869.0
176, 3760, 2920.3125, 6636, 777.59375
177, 3703, 2777.875, 6885, 1147.484375
178, 3567, 3030.1875, 6392, 652.078125
179, 3803, 2718.0625, 6845, 825.9375
180, 3545, 2785.4375, 6666, 951.5625
181, 3721, 2846.8125, 6729, 869.546875
182, 3428, 2657.9375, 6735, 1142.09375
183, 3750, 2939.3125, 6869, 910.046875
184, 3691, 2715.6875, 6698, 1193.46875
185, 3834, 2958.0, 6834, 969.375
186, 3770, 2967.3125, 6483, 743.546875
187, 3808, 2781.9375, 6806, 908.703125
188, 3739, 2831.0625, 6730, 1123.046875
189, 3507, 2786.375, 6437, 793.71875
190, 3499, 2741.375, 6642, 1143.21875
191, 3808, 2902.0, 6832, 995.09375
192, 3843, 2789.5625, 6641, 1068.84375
193, 3497, 2906.0, 6755, 833.296875
194, 3857, 2940.9375, 6799, 939.296875
195, 3574, 2626.0625, 6541, 1068.59375
196, 3758, 3033.3125, 6560, 698.34375
197, 3661, 2629.875, 6442, 1156.921875
198, 3728, 3083.25, 6778, 720.703125
199, 3822, 2981.5625, 6701, 915.59375
200, 3670, 2928.8125, 6697, 576.234375
201, 3672, 2713.1875, 6825, 852.75
202, 3801, 2835.4375, 6440, 1005.078125
203, 3723, 2658.25, 6889, 1152.875
204, 3683, 2831.375, 6811, 1079.484375
205, 3795, 2854.125, 6831, 1113.109375
206, 3768, 2874.625, 6729, 983.75
207, 3767, 2739.0, 6877, 1255.984375
208, 3649, 2826.125, 6895, 966.703125
209, 3686, 2585.1875, 6830, 1244.453125
210, 3491, 2652.125, 6678, 1241.1875
211, 3779, 2898.5, 6851, 836.703125
212, 3789, 2943.375, 6768, 864.078125
213, 3395, 2597.8125, 6760, 1376.765625
214, 3858, 2787.3125, 6834, 1063.46875
215, 3797, 2924.125, 6641, 889.25
216, 3779, 2710.375, 6768, 1048.453125
217, 3785, 2930.5, 6869, 871.8125
218, 3703, 2833.4375, 6702, 1183.546875
219, 3706, 2874.125, 6639, 914.28125
220, 3731, 2867.625, 6756, 692.75
221, 3548, 2735.4375, 6725, 1175.765625
222, 3760, 2836.6875, 6744, 1064.46875
223, 3827, 2926.5625, 6722, 919.28125
224, 3694, 2864.75, 6370, 890.546875
225, 3705, 2751.1875, 6867, 1046.234375
226, 3819, 2840.3125, 6686, 1123.78125
227, 3834, 2818.5625, 6902, 1038.796875
228, 3718, 3014.8125, 6310, 702.46875
229, 3774, 2719.9375, 6811, 1296.390625
230, 3766, 3019.0625, 6357, 597.09375
231, 3729, 2653.3125, 6806, 1095.640625
232, 3660, 2932.0, 6020, 723.21875
233, 3687, 2750.125, 6825, 1055.0
234, 3593, 2700.5625, 6747, 1154.390625
235, 3762, 2775.25, 6835, 970.296875
236, 3643, 2795.625, 6885, 1020.515625
237, 3595, 2763.4375, 6677, 947.09375
238, 3727, 2852.8125, 6912, 1196.828125
239, 3748, 2915.8125, 6738, 865.5
240, 3767, 2777.875, 6700, 1077.671875
241, 3593, 2814.0, 6029, 796.5
242, 3720, 3028.3125, 6755, 510.359375
243, 3451, 2725.125, 6423, 917.65625
244, 3902, 3078.5, 6862, 813.34375
245, 3809, 2888.875, 6568, 997.09375
246, 3489, 2664.375, 6751, 1379.6875
247, 3701, 2815.0, 6765, 959.296875
248, 3560, 2710.3125, 6796, 1103.875
249, 3641, 2837.5625, 6708, 964.578125
250, 3625, 2724.8125, 6829, 1145.171875
251, 3804, 2863.0625, 6824, 983.3125
252, 3542, 2859.0625, 6823, 951.1875
253, 3684, 2861.9375, 6707, 1014.0625
254, 3673, 2829.125, 6814, 1024.84375
255, 3783, 2981.75, 6218, 366.890625
256, 3636, 2955.0, 6725, 806.859375
257, 3706, 2957.0, 6726, 670.984375
258, 3280, 2568.0, 6895, 1558.640625
259, 3659, 2860.5625, 6770, 797.296875
260, 3516, 2829.8125, 6767, 825.78125
261, 3590, 2617.875, 6741, 1344.359375
