best seeker, average seeker, best avoider, average avoider
3827, 2988.75, 1999, 362.078125
3843, 2796.3125, 1999, 503.859375
3615, 2786.5, 1999, 490.703125
3408, 2470.3125, 1999, 632.1875
3606, 3106.8125, 1999, 348.21875
3622, 2553.0625, 1999, 564.703125
3629, 2870.6875, 1999, 438.453125
3796, 2860.0, 1999, 441.109375
3446, 2784.875, 1999, 428.640625
3785, 2713.3125, 1999, 464.453125
3513, 2968.0, 1999, 445.375
3819, 2881.9375, 1999, 451.234375
3564, 2862.3125, 1999, 456.15625
3684, 2796.6875, 1999, 503.765625
3696, 2906.125, 1999, 445.203125
3730, 3071.5625, 1999, 403.84375
3684, 2821.9375, 1999, 451.28125
3594, 2845.625, 1999, 460.296875
3609, 2527.25, 1999, 602.3125
3648, 2851.0625, 1999, 443.3125
3779, 2613.125, 1999, 565.265625
3769, 2716.75, 1999, 492.515625
3566, 2607.5, 1999, 504.703125
3634, 2810.375, 1999, 469.125
3699, 2609.1875, 1999, 613.109375
3568, 2778.75, 1999, 434.984375
3293, 2646.8125, 1999, 556.859375
3646, 2806.375, 1999, 501.359375
3655, 2650.1875, 1999, 524.765625
3528, 2889.5625, 1999, 433.734375
3601, 2704.4375, 1999, 511.21875
3473, 2731.0, 1999, 504.578125
3562, 2770.75, 1999, 541.53125
3814, 2607.9375, 1999, 582.140625
3686, 2658.6875, 1999, 538.265625
3822, 2692.625, 1999, 547.5
3727, 2943.0625, 1999, 435.953125
3723, 2868.625, 1999, 423.921875
3827, 2849.5625, 1999, 443.71875
3617, 2707.3125, 1999, 526.125
3650, 2778.125, 1999, 461.578125
3396, 2757.5625, 1999, 466.703125
3676, 2989.1875, 1999, 379.796875
3487, 2842.875, 1999, 476.625
3654, 2705.6875, 1999, 531.546875
3784, 2887.5, 1999, 465.46875
3586, 2927.75, 1999, 471.046875
3664, 2800.5, 1999, 487.1875
3674, 2767.875, 1999, 464.109375
3563, 2827.3125, 1999, 496.125
3470, 2705.25, 1999, 495.40625
3366, 2592.75, 1999, 586.625
3483, 2702.75, 1999, 542.875
3435, 2692.75, 1999, 529.765625
3580, 2449.375, 1999, 699.890625
3732, 2749.875, 1999, 531.09375
2863, 2463.25, 1999, 665.125
3775, 2503.4375, 1999, 592.671875
3567, 2758.625, 1999, 435.21875
3592, 2797.0, 1999, 504.28125
3625, 2773.6875, 1999, 462.9375
3789, 2762.125, 1999, 543.65625
3657, 2659.1875, 1999, 508.03125
3901, 2862.625, 1999, 471.703125
3769, 2893.9375, 1999, 449.5
3658, 2678.125, 1999, 549.0
3433, 2709.3125, 1999, 510.0
3800, 2714.8125, 1999, 555.453125
3411, 2467.3125, 1999, 617.3125
3499, 2632.875, 1999, 544.703125
3402, 2619.6875, 1999, 579.25
3606, 2774.3125, 1999, 525.015625
3770, 2665.625, 1999, 567.734375
3829, 2981.25, 1999, 379.5625
3643, 2867.875, 1999, 454.765625
3147, 2623.4375, 1999, 500.21875
3301, 2705.3125, 1999, 526.640625
3742, 2792.8125, 1999, 473.546875
3758, 2858.125, 1999, 457.203125
3289, 2556.9375, 1999, 594.9375
3774, 2679.9375, 1999, 548.578125
3611, 2815.0, 1999, 561.703125
3724, 2868.125, 1999, 485.90625
3788, 2871.5625, 1999, 453.875
3635, 2529.625, 1999, 554.890625
3618, 2774.875, 1999, 493.625
3737, 2575.5, 1999, 605.875
3800, 2864.625, 1999, 486.8125
3672, 2779.75, 1999, 476.8125
3678, 2825.9375, 1999, 512.09375
3671, 2616.75, 1999, 564.3125
3376, 2651.5, 1999, 541.125
3651, 2781.0, 1999, 492.078125
3750, 2830.625, 1999, 479.65625
3729, 2665.8125, 1999, 567.703125
3793, 2747.5625, 1999, 487.21875
3350, 2613.625, 1999, 565.71875
3651, 2891.6875, 1999, 448.84375
3345, 2566.625, 1999, 576.875
3573, 2833.4375, 1999, 463.375
3490, 2915.4375, 1999, 474.125
3135, 2632.875, 1999, 575.9375
3677, 2734.6875, 1999, 472.40625
3497, 2707.5625, 1999, 557.296875
3632, 2658.8125, 1999, 507.015625
3763, 2719.875, 1999, 522.96875
3687, 2702.9375, 1999, 480.34375
3716, 2620.5, 1999, 502.546875
3811, 2980.5, 1999, 411.0
3712, 2887.4375, 1999, 434.25
3498, 2668.625, 1999, 535.78125
3622, 2622.5, 1999, 504.140625
3801, 2581.5625, 1999, 526.296875
3719, 2701.0625, 1999, 499.09375
3667, 2715.375, 1999, 539.71875
3559, 3024.5625, 1999, 384.375
3188, 2515.3125, 1999, 620.921875
3583, 2656.9375, 1999, 476.234375
3690, 2760.3125, 1999, 450.40625
3709, 2589.25, 1999, 586.859375
3686, 2851.625, 1999, 479.15625
3809, 2882.8125, 1999, 488.09375
3694, 2716.625, 1999, 493.59375
3768, 2950.125, 1999, 434.234375
3511, 2863.875, 1999, 471.390625
3753, 2583.0625, 1999, 557.8125
3758, 2664.75, 1999, 489.921875
3599, 2766.25, 1999, 511.375
3452, 2698.875, 1999, 513.0
3721, 2858.5, 1999, 472.71875
3647, 2707.3125, 1999, 557.34375
3397, 2634.25, 1999, 560.0
3681, 2744.5, 1999, 501.21875
3764, 2874.5625, 1999, 453.0625
3822, 3034.8125, 1999, 381.828125
3854, 2734.8125, 1999, 534.84375
3685, 2521.5625, 1999, 635.0
3733, 2815.875, 1999, 514.625
3495, 2817.8125, 1999, 498.5
3721, 2865.5625, 1999, 486.5625
3736, 2675.375, 1999, 534.09375
3606, 2456.5, 1999, 588.765625
3627, 2764.0, 1999, 511.96875
3714, 2867.6875, 1999, 411.359375
3702, 2615.9375, 1999, 595.765625
3575, 2633.25, 1999, 591.484375
3707, 2824.4375, 1999, 465.640625
3656, 2513.0625, 1999, 621.46875
3740, 2932.5, 1999, 438.609375
3574, 2683.75, 1999, 501.0625
3629, 2768.75, 1999, 495.765625
3717, 2659.3125, 1999, 538.109375
3693, 2707.625, 1999, 496.671875
3544, 2674.6875, 1999, 504.515625
3449, 2917.5625, 1999, 457.96875
3562, 2573.5, 1999, 606.40625
3694, 2818.125, 1999, 452.59375
3460, 2758.5625, 1999, 482.09375
3687, 2869.75, 1999, 423.046875
3769, 2957.9375, 1999, 401.015625
3550, 2730.375, 1999, 535.96875
3693, 2786.5, 1999, 506.328125
3562, 2548.375, 1999, 643.90625
3467, 2814.625, 1999, 468.078125
3737, 2503.5625, 1999, 639.515625
3768, 2777.5625, 1999, 477.3125
3505, 2669.6875, 1999, 551.140625
3705, 2870.875, 1999, 455.375
3639, 2656.1875, 1999, 508.015625
3791, 2589.25, 1999, 524.40625
3577, 2875.6875, 1999, 452.8125
3699, 2902.0, 1999, 446.21875
3754, 2855.625, 1999, 443.40625
3733, 2692.25, 1999, 515.09375
3451, 2813.4375, 1999, 499.59375
3630, 2651.375, 1999, 508.84375
3706, 2520.625, 1999, 573.234375
3607, 2774.125, 1999, 479.703125
3545, 2556.1875, 1999, 579.5
3892, 2778.0, 1999, 446.0
3317, 2597.3125, 1999, 475.921875
3701, 2705.375, 1999, 479.734375
3515, 2792.5, 1999, 504.84375
3677, 2756.0, 1999, 576.421875
3539, 2723.6875, 1999, 522.015625
3557, 2818.8125, 1999, 451.375
3612, 3010.6875, 1999, 419.078125
3618, 2853.25, 1999, 428.5
3593, 2745.25, 1999, 516.65625
3778, 2692.9375, 1999, 483.46875
3547, 2819.375, 1999, 466.875
3524, 2719.0625, 1999, 538.8125
3752, 2838.8125, 1999, 540.125
3642, 2682.25, 1999, 516.765625
3678, 2651.0625, 1999, 493.328125
3596, 2633.375, 1999, 513.34375
3668, 2601.6875, 1999, 506.578125
3524, 2688.5, 1999, 499.546875
3782, 2645.125, 1999, 557.28125
3708, 2845.5625, 1999, 429.9375
3547, 2582.25, 1999, 515.859375
3888, 3119.3125, 1999, 376.328125
3519, 2573.5625, 1999, 559.53125
3703, 2783.125, 1999, 460.296875
3549, 2672.4375, 1999, 521.296875
3582, 2737.0625, 1999, 518.703125
3636, 2738.5625, 1999, 455.84375
3738, 2721.6875, 1999, 538.171875
3457, 2578.3125, 1999, 589.953125
3687, 2600.1875, 1999, 538.46875
3641, 2867.1875, 1999, 439.3125
3681, 3008.875, 1999, 390.140625
3755, 2866.8125, 1999, 439.40625
3629, 2813.75, 1999, 468.265625
3638, 2644.4375, 1999, 528.296875
3524, 2628.0625, 1999, 545.9375
3519, 2796.5625, 1999, 441.34375
3870, 2948.0, 1999, 450.375
3747, 2517.5625, 1999, 620.390625
3459, 2662.75, 1999, 537.265625
3508, 2844.5, 1999, 429.34375
3773, 2922.8125, 1999, 425.421875
3605, 2808.8125, 1999, 469.515625
3383, 2673.3125, 1999, 534.578125
3724, 2900.375, 1999, 477.890625
3648, 2734.375, 1999, 519.703125
3654, 2827.1875, 1999, 449.296875
3504, 2791.625, 1999, 426.984375
3846, 2819.25, 1999, 498.125
3866, 3008.875, 1999, 466.390625
3411, 2723.25, 1999, 491.15625
3353, 2625.3125, 1999, 531.5
3507, 2768.375, 1999, 495.859375
3688, 2842.1875, 1999, 414.34375
3838, 2973.0625, 1999, 444.125
3835, 2996.5625, 1999, 407.0
3868, 2679.875, 1999, 564.203125
3616, 2772.5, 1999, 509.8125
3747, 2538.6875, 1999, 646.3125
3565, 2756.5625, 1999, 513.8125
3388, 2658.3125, 1999, 522.71875
3627, 3077.9375, 1999, 355.453125
3520, 2853.3125, 1999, 489.59375
3565, 2810.3125, 1999, 469.140625
3614, 2736.4375, 1999, 565.6875
3816, 2958.0, 1999, 447.875
3553, 2630.0625, 1999, 576.640625
3487, 2683.8125, 1999, 594.46875
3652, 2957.5625, 1999, 401.546875
3665, 2489.125, 1999, 597.984375
3632, 2796.9375, 1999, 472.484375
3853, 2952.9375, 1999, 402.28125
3645, 2920.1875, 1999, 379.234375
3510, 2694.875, 1999, 482.34375
3724, 2730.6875, 1999, 473.421875
3489, 2646.125, 1999, 541.40625
3747, 2859.6875, 1999, 459.515625
3824, 2763.9375, 1999, 511.984375
3633, 2806.75, 1999, 501.28125
3525, 2896.8125, 1999, 402.15625
3483, 2618.4375, 1999, 532.671875
3481, 2601.0625, 1999, 525.328125
3758, 2973.5, 1999, 397.125
3752, 2693.0, 1999, 560.921875
3643, 2695.3125, 1999, 529.125
3671, 2784.125, 1999, 475.6875
3547, 2760.625, 1999, 512.796875
3684, 2947.1875, 1999, 451.0625
3653, 2813.375, 1999, 499.609375
3488, 2757.8125, 1999, 466.671875
3736, 2630.0, 1999, 545.453125
3611, 2623.875, 1999, 578.171875
3435, 2647.875, 1999, 494.109375
3504, 2648.75, 1999, 556.375
3729, 2833.1875, 1999, 400.9375
3710, 2819.0625, 1999, 451.328125
3765, 2804.75, 1999, 455.703125
3473, 2607.125, 1999, 551.140625
3800, 2996.4375, 1999, 407.0
3862, 2830.9375, 1999, 467.265625
3456, 2682.875, 1999, 501.0
3578, 2868.625, 1999, 438.9375
3773, 2754.0625, 1999, 453.046875
3847, 2770.125, 1999, 479.21875
3593, 2866.25, 1999, 486.40625
3757, 2631.5, 1999, 545.03125
3697, 2683.8125, 1999, 563.234375
3709, 2510.875, 1999, 590.828125
3644, 2682.5, 1999, 547.9375
3707, 2742.4375, 1999, 501.703125
3777, 2941.4375, 1999, 420.78125
3428, 2667.375, 1999, 551.671875
3771, 3079.9375, 1999, 401.78125
3075, 2565.4375, 1999, 534.265625
3673, 2610.6875, 1999, 535.890625
3818, 2727.0, 1999, 521.171875
3441, 2505.375, 1999, 545.328125
3724, 2812.9375, 1999, 515.359375
3500, 2630.125, 1999, 498.546875
3591, 2862.125, 1999, 456.234375
3557, 2792.625, 1999, 473.578125
3873, 2983.5, 1999, 394.65625
3796, 2611.25, 1999, 536.1875
3286, 2694.3125, 1999, 513.71875
3725, 2758.6875, 1999, 513.28125
3821, 3008.3125, 1999, 372.828125
3583, 2476.5, 1999, 599.875
3644, 2708.9375, 1999, 494.46875
3622, 2632.6875, 1999, 560.390625
3605, 2655.75, 1999, 524.734375
3661, 2675.875, 1999, 533.984375
3693, 2750.25, 1999, 468.53125
3709, 2881.5, 1999, 466.984375
3512, 2659.3125, 1999, 506.875
3899, 2788.3125, 1999, 490.28125
3703, 2906.125, 1999, 460.828125
3681, 2814.5, 1999, 468.09375
3793, 2849.5625, 1999, 474.984375
3294, 2655.5625, 1999, 476.578125
3480, 2681.375, 1999, 501.359375
3687, 2779.3125, 1999, 508.109375
3252, 2567.0625, 1999, 484.234375
3898, 2788.1875, 1999, 459.078125
3522, 2799.4375, 1999, 487.5
3712, 2621.3125, 1999, 547.625
3634, 2713.5625, 1999, 462.078125
3513, 2604.5625, 1999, 489.578125
3697, 2965.0625, 1999, 417.609375
3706, 2761.8125, 1999, 528.09375
3793, 2820.4375, 1999, 451.0
3654, 2788.75, 1999, 443.265625
3602, 2533.5, 1999, 616.40625
3700, 2714.75, 1999, 586.703125
3620, 2769.875, 1999, 557.3125
3739, 2560.5, 1999, 625.28125
3598, 2934.4375, 1999, 438.15625
3763, 2855.375, 1999, 489.125
3763, 2877.0, 1999, 452.46875
3751, 2718.625, 1999, 476.453125
3806, 2745.125, 1999, 487.140625
3697, 2685.625, 1999, 500.296875
3714, 2881.875, 1999, 420.015625
3355, 2638.75, 1999, 543.265625
3579, 2673.6875, 1999, 518.875
